Disease,Food to Eat,Food to Avoid
Fungal infection,"Healthy fat, such as avocados and olives, herbs and spices, high quality protein like, eggs lean meat and fish, low sugar fruit, such as apples, grapefruit, and orange","Added sugar, including honey, maple syrup, agave and molasses, Artificial sweetener, fruit in high sugar, processed meat, starchy vegetables like corn, peas and potatoes  "
Allergy,"vitamine C such as citrus fruits, including oranges, kiwi, lemon and grapefruit, bell peppers, strawberries, Tomatoes, white potatoes, cruciferous vegetables, including broccoli, brussels sprout, cabbage and cauliflower","fried food, white bread and pastries, red meat(burgers, steaks) and processed meat (hot dogs, sausage. Fat-heavy spreads, such as butter or margarine"
GERD,"non- citrus fruits such as bananas, melons, apples, and pears. Vegetable, lean meat, oatmeal, whole-grain bread, rice and couscous, unsaturated fats from plants and fish","Fatty and fried foods, Spicy foods, citrus, tomato sauces and  vinegr, chocolate, caffeine, onions, peppermint carbonated drinks and alcohol "
Chronic cholestasis,"Fruits and vegetables, meats, poultry fish and seafood, eggs, beans and peas, tofu and soy. Whole grain, breads, cereals and bakery product, healthy fat and oil","Sugars and highly refined foods, such as white bread and corn syrup, processed meats, full fat dairy products "
Drug Reaction,"Crackers, rice, bread, and peanut butter, bananas, Foods Rich in Specific Nutrients, Foods that Promote Digestion","Grapefruit, Alcohol, Dairy Products(Milk, yogurt, and cheese), Tyramine-Rich Foods, Vitamin K-Rich Foods, Fruits and Vegetables(grapes, oranges, and bell peppers)"
Peptic ulcer diseae,"fruits(Apples, grapes, berries, pomegranates), vegetables like leafy greens, bright red and orange vegetables, lean proteins (Skinless poultry, lean beef like sirloin or tenderloin, fish, eggs, tofu, tempeh, dry beans), probiotic foods, whole grains, herbs and spices","Alcohol, caffeine, milk, certain meet (red meat), high-fat foods, spicy foods, salty foods, chocolate, raw vegetables "
AIDS,Balance Diet,"Raw eggs of foods that contain raw eggs, such as homemade cookie dough, Raw or undercooked poultry, meat, and seafood, milk, dairy products and fruit juices that are unpasteurized"
Diabetes ,"Fruits, Vegetables, Whole grains, Legumes such as beans and peas, low-fat dairy products, such as milk and cheese, heart-healthy fish, avocados, nuts, canola, olive and peanut oils","Saturated fats such as butter, beef, hot dogs, sausage and beacon, trans fats such as processed snacks, baked goods, shortening and stick margarines, cholesterol such as high fat animal proteins, egg yolks, liver and other organs meat, sodium "
Gastroenteritis,"Pastas, Rice, Lean meats prepared with little fat, lwow-fat cooked fish, eggs, fresh fruits , or fruits canned in their own juice, cooked vegetables, sugar - free cereals, bread","Fruit Juice that contain a lot of sugar and fruit drinks, sports drinks such as Gatorade, soft or carbonated drinks, caffeinated drinks, broths and canned or packaged soups, fried foods  or those rich in fat  (delicatessen, potato chips, french fries, pasteries), ice cream, sherbe, popsicles and jellies (such as jell-O)"
Bronchial Asthma,"Carrot, Citrus(Vitamin C, rich oranges, lemons, limes, and grapefruit), Almonds, Salmon (Healthy Fatty fish), Walnuts, Sardines, Oats","peanuts and Tree nuts, Processed Meats (Sausage, beacon, and salami), Dairy (Milk, yogurt and Cheese), Sulfites"
Hypertension ,"Apricots, Avocados, Melons(cantaloupe or honeydew), Fat-free or low-fat dairy products, Spinach and greens, fish (tuna and halibut), Legumes, Molasses, Mushrooms, oranges/orange juice, potatoes, prune/prune juice, raisins and dates, tomatoes ","Processed meats (Bacon and hot dogs), Canned food with preservatives, High-sodium food such as pickles and chicken strips, fatty meats, especially red meat, vegetable oil and margarine, which are high trans fat, table salt, grapefruit "
Migraine,"Leafy greens (kale, spinach and collard greens), Nut(almonds, cashews and brazil nuts), beans, pumpkin and chia seed, Omega-3 fatty acids (oily fish such as salmon and mackerel), chia seeds, waluts, soybeans, highfat and low carbohydrate foods (lean meats, eggs, seafood, butter, nut and seeds and nonstarchy vegetables)","Caffeine(Coffee, tea, chocolate), Artificial sweeteners, Alcohol, Chocolate, foods containing Monosodium glutamate(MSG), Cured meats(deli meats, ham, hot dog and sausages), Aged cheeses(feta, blue cheese, parmesan), Fermented foods (Fermented pickles, kimchi, alcohol), soy sauce, sauerkraut, frozen foods "
Cervical spondylosis,"Fruits and Vegetables, protein food, vitamin D, Omega-3 fatty acids, Antioxidants, ","Processed foods, saturated fats, and excessive salt and sugar "
Paralysis (brain hemorrhage),"Fruits, healthy fats (fatty fish, or seafood, nuts, seeds, avocado and extra-virgin olive oil, beans, vegetables, whole grains (farro, spelt, barley, and millet), Herbs and spices, soluble fiber, potassium ","limit salt and sugary foods such as high saturated fat, biscuits, cates, patries, pies, processed meats, commercial burgesrs, pizza, fried food, potato chips, crips"
Jaundice,"Water, Sodium, Fruit and vegetables, lemons, limes, grapfruits, melon and papayas, potatoes, yams and pumpkins, avocados, ripe tomatoes, garlic with ginger, collard greens with spinach, coffee and sugarcane juice ","Alcohol and caffeine, Processed foods, High-fat foods: Fried foods and greasy meats can strain the liver, Excessive dairy, Non-vegetarian foods"
Malaria,"Soft, cooked foods like mashed potatoes, rice porridge, and stews, water, juices, and coconut water to prevent dehydration, fish, chicken, or eggs in a light stew or soup, fruits and vegetables, like oranges, papayas, and spinach, beans, milk and dairy product, Honey","Avoid fried, oily, and spicy foods, Limit high-fiber foods like whole grains, sugary, processed foods, pastries, and chip, caffeinated beverages (coffee, tea) and alcohol, Spicy Foods"
Chicken pox,"Rice, toast, pasta, oatmeal, and soups, Drink plenty of water, coconut water, herbal tea, and low-sugar sports drinks, Bananas, melons, berries, peaches, broccoli, kale, cucumbers, and spinach, Mung bean porridge, lotus seed porridge, brown rice porridge, asparagus, bananas, and other soft food ","Spicy and Salty Foods, Acidic Foods: Citrus fruits and tomatoes, Popcorn, nuts, seeds, chips, and other crunchy items, Fried Foods. Garlic, chili, ginger, pepper, curry, mustard, dog meat, goat meat, seafood (shrimp, clams, snails, mussels), and certain fruits like lychee, longan, plums, mangoes, and jackfruit should be avoided, as they can be harmful. "
Dengue,"Water, coconut water, herbal teas (ginger, chamomile), and clear broths, Papaya, pomegranate, oranges, grapefruits, kiwi, and other fruits rich in vitamin C and K, Cooked vegetables like carrots, pumpkins, zucchini, and squash, as well as leafy greens like spinach, Chicken, fish, eggs, and other protein sources, Iron - rich food ","Fatty and greasy foods: Fried foods, fast food, and processed meats. Sugary and processed foods: excessive sugar intake and processed items. Caffeinated and alcoholic beverages: Coffee, energy drinks, sodas, and alcohol. Foods that can worsen symptoms: Spicy foods and foods that cause gas (beans, chickpeas, broccoli, etc.). Dark-colored foods: Red, brown, or black foods, as they can confuse the doctor in case of vomiting. Foods that can increase bleeding risk: Aspirin, ibuprofen, and naproxen sodium. "
Typhoid,"Grains(White rice, pasta, white bread), Vegetables(Boiled or cooked vegetables like potatoes, carrots, green beans, beets, and squash), Fruits(Ripe bananas, melons, applesauce), Proteins (Eggs, chicken, turkey, fish, tofu, and ground meat), Dairy (Yogurt, low-fat or fat-free pasteurized milk, buttermilk, cheese, and ice cream), Fluids(Coconut water, lime juice, bottled water, herbal tea, juice, and broth), Soups","Whole grains, oats, barley, nuts, seeds, and legumes, Spicy Foods, Fried and oily foods, Raw fruits and vegetables, Vegetables like broccoli, cabbage, cauliflower, and asparagus, Avoid fruits and vegetables that may have been washed with contaminated water "
hepatitis A,"Plenty of vegetables and fruits, breads, rice, pasta, and noodles, fish, poultry, and alternatives, milk, yogurt, and cheese, avocados and nut butters, chickpeas, lentils, almonds, and peanuts, ofu and tempeh","Processed Foods(Processed foods should be avoid like, fast food, and highly processed snacks), Sugary Drinks, Saturated Fats, Alcohol, Excessive Salt(Limit salt intake)"
Hepatitis B,"Plenty of vegetables and fruits, breads, rice, pasta, and noodles, fish, poultry, and alternatives, milk, yogurt, and cheese, avocados and nut butters, chickpeas, lentils, almonds, and peanuts, ofu and tempeh","Processed Foods(Processed foods should be avoid like, fast food, and highly processed snacks), Sugary Drinks, Saturated Fats, Alcohol, Excessive Salt(Limit salt intake)"
Hepatitis C,"Plenty of vegetables and fruits, breads, rice, pasta, and noodles, fish, poultry, and alternatives, milk, yogurt, and cheese, avocados and nut butters, chickpeas, lentils, almonds, and peanuts, ofu and tempeh","Processed Foods(Processed foods should be avoid like, fast food, and highly processed snacks), Sugary Drinks, Saturated Fats, Alcohol, Excessive Salt(Limit salt intake)"
Hepatitis D,"Plenty of vegetables and fruits, breads, rice, pasta, and noodles, fish, poultry, and alternatives, milk, yogurt, and cheese, avocados and nut butters, chickpeas, lentils, almonds, and peanuts, ofu and tempeh","Processed Foods(Processed foods should be avoid like, fast food, and highly processed snacks), Sugary Drinks, Saturated Fats, Alcohol, Excessive Salt(Limit salt intake)"
Hepatitis E,"Plenty of vegetables and fruits, breads, rice, pasta, and noodles, fish, poultry, and alternatives, milk, yogurt, and cheese, avocados and nut butters, chickpeas, lentils, almonds, and peanuts, ofu and tempeh","Processed Foods(Processed foods should be avoid like, fast food, and highly processed snacks), Sugary Drinks, Saturated Fats, Alcohol, Excessive Salt(Limit salt intake)"
Alcoholic hepatitis,"Lean Proteins(Fish, poultry, eggs, tofu, beans, and lentils)Whole Grains (Brown rice, quinoa, barley, oatmeal, and whole-wheat bread) Fruits and Vegetables(A variety of colorful fruits and vegetables, especially cruciferous vegetables like broccoli, cabbage, and cauliflower), Healthy Fats(Olive oil, avocados, and nuts.), Dairy(Low-fat or fat-free dairy products) Coffee, green tea, and garlic","Alcohol, Processed Foods, Sugary Drinks: Avoid soda and fruit juices, Fatty Foods: Limit fried foods, red meat, and high-fat dairy, Salty Foods (Be mindful of salt intake and avoid excessive salt)"
Tuberculosis,"Protein (Lean meats, poultry, fish, eggs, beans, lentils, and dairy products), Complex Carbohydrates(Coarse grains, potatoes, oats, and boiled rice), Avocados, nuts, and seeds, Fruits and Vegetables, Probiotic Foods(Yogurt and curd), Vitamin-rich foods","processed food(refined grains, sugary snacks, and fried foods), Alcohol and tobacco, High-fat foods, junk food"
Common Cold,"Citrus Fruits(Oranges, lemons, grapefruits), Leafy Greens(
Spinach, kale), Chicken broth, Ginger, Honey, Bananas, Oily fish, egg, garlic and Onions, Broccoli, Brussels Sprouts, and Butternut Squash, Green tea","Sugary Drinks (soda, juice and sweetened tea), Processed foods, Oily and Spicy food, Alcohol, Dairy "
Pneumonia,"Oats, brown rice, and whole wheat products, beans, lentils, nuts, dairy products, fish, and poultry, Spinach, kale, and lettuce, Oranges, lemons, and grapefruits, Honey, Ginger ad garlic, Yogurt and other probiotic-rich foods, Water, tea, and soup","High-sodium foods, Alcohol, sugary drinks, fried, foods, red meat"
Dimorphic hemmorhoids(piles),"Fruits(Apples, pears, bananas, berries, prunes, kiwi, papaya, and grapes), Vegetables(Cabbage, kale, spinach, broccoli, sprouts, onions, tomatoes, turnips, cucumbers, watermelons, and celery), Whole grains(Quinoa, barley, rye, brown rice, oats, multi-grain or dark rye breads, wholemeal pasta), Legumes: Beans, lentils, and chickpeas, Nuts: Almonds and pecans","processed foods, refined flour, white rice and dairy products, Red meat, Alcohol and caffeine, Spicy foods, high-fat foods, dairy, "
Heart attack,"whole grains like oatmeal, brown rice, and whole-grain bread or tortillas, lean protein like 95% lean ground beef, pork tenderloin, skinless chicken/turkey, fish eggs, nuts, seeds and soy products, healthy fats like like canola, corn, olive, safflower, sesame, sunflower, and soybean oils, seeds, avocados, legumes like beans, chickpeas , berries ","Saturated and trans fats, sodiem, Added sugars, processed meats, red meat, refined grains. Fried foods, sugary drinks High-fat dairy, Alcohol "
Varicose veins,"Whole grains (oats, brown rice, whole wheat bread), Legumes (lentils, chickpeas, kidney beans), Fruits (berries, oranges, apples, pears), Vegetables (broccoli, leafy greens, asparagus, watercress)Berries (blackberries, blueberries), Citrus fruits (oranges, lemons, grapefruits), Onions, bell peppers, spinach, broccoli , Grapes, cherries, apples, Dark chocolate (in moderation), healthy fats ","Excessive Red Meat,Refined Carbohydrates(White bread, pasta, and pastries), High Sodium foods"
Hypothyroidism,"Iodine-rich foods: Seaweed (nori, kelp, wakame), fish (cod, tuna, salmon), dairy products, eggs, and iodized salt. Selenium-rich foods: Brazil nuts, tuna, sardines, eggs, legumes. Zinc-rich foods: Oysters, beef, chicken, pumpkin seeds, yogurt. Omega-3 fatty acids: Fatty fish (salmon, mackerel, sardines), flaxseeds, chia seeds, walnuts. Antioxidant-rich foods: Berries, dark leafy greens, nuts, green tea. Fiber-rich foods: Whole grains, fruits, vegetables, legumes. ","Excess fiber from beans, legumes, and vegetables, Goitrogens: Raw cruciferous vegetables (broccoli, cauliflower, cabbage), soy products, millets, cassava, Processed foods and sugars,Excessive alcohol"
Hyperthyroidism,"Low-iodine foods: Fruits, vegetables (especially leafy greens), whole grains (rice, oats), lean proteins, and healthy fats, Selenium-rich foods: Brazil nuts, mushrooms, meat (beef, lamb), poultry, chia seeds, and sunflower seeds, Zinc-rich foods: Beef, chickpeas, cocoa powder, cashews, mushrooms, pumpkin seeds, and lamb, Antioxidant-rich foods: Berries, fruits, and vegetables, Spices: Turmeric, green chilies, and black pepper. ","Iodine-rich foods: Seaweed, fish, shellfish, oysters, and any food fortified with iodine, Dairy products, Caffeine, Processed foods, Sugar and sugary drinks, Gluten, Red meat, Trans fats, soy products, Cruciferous vegetables, Alcohol"
Hypoglycemia,"Lean Proteins(chicken, fish, eggs, tofu, Greek yogurt), Complex Carbohydrates (Whole grains, beans, and lentils), Non-Starchy Vegetables(Leafy greens, peppers, tomatoes, and onions), Healthy Fats(Nuts, seeds, and avocados), Fruits, Low-Carb Milk and Yogurt, Fiber-Rich Foods (Oatmeal, salads, and seafood)","Sugary Foods and Drinks, Refined Grains (White bread, white rice, and pastries), Excessive Caffeine and Alcohol"
Osteoarthristis,"Fruits and Vegetables, Whole Grains, Healthy Fats(Found in fish, nuts, seeds, and olive oil), Legumes (Beans, lentils, and peas), Dairy and Dairy Alternatives, Anti-inflammatory Spices(ginger, turmeric and garlic), Omega-3 Fatty acids ","Processed Foods, Refined Carbohydrates(White rice, pasta, and pastries), Sugary Drinks (Sodas, juices, and sweetened beverages), Alcohol"
Arthritis,"Fatty Fish, Garlic and Onions, Ginger, Broccoli, walnuts, berries, Green vegetables, mediterranean Diet","Red Meat and Processed Meats, Refined Sugar and Processed Foods, Excessive Salt Intake, Sugar-Sweetened Beverages and Alcohol, Nightshade Vegetables (Potatoes, Tomatoes, Eggplant, Peppers)"
(vertigo) Paroymsal  Positional Vertigo,"Fruits and vegetables, Leafy greens,Potassium-rich foods:
Bananas and avocados, Omega-3 fatty acids, Ginger, Whole grains:
Brown rice, oats, and whole wheat bread, Lean proteins:
Eggs, yogurt, and beans","Alcohol, Caffeine,High sodium foods, Processed foods, and canned goods, sugary foods and drinks, dairy products , Fried and fatty foods"
Acne,"Omega-3 Fatty Acids(fatty fish (salmon, mackerel), nuts, seeds, and fish oil), Antioxidants(Blueberries, leafy greens, red cabbage, green tea, and foods like red grapes, mulberries, and peanuts), Fiber-Rich Foods (Oatmeal, beans, apples, carrots, and whole grains like quinoa, whole wheat, and brown rice), Vitamine and Minerals , Healthy fats, Lean Protein: Turkey, chicken, fish, tofu","High Glycemic Index Foods(White bread, white rice, sugary foods, potato fries, milkshakes), Processed Foods (Refined grains, sugary drinks, fast food), Dairy Products, Refined Sugar, Trans Fats, Caffeine and Alcohol "
Urinary tract infection,"Cranberries, Blueberries and other berries, Foods rich in Vitamin C(oranges, grapefruits, strawberries, and green leafy vegetables), Probiotic-rich foods (Yogurt, sauerkraut, and kimchi), High-fiber foods(include beans, lentils, and whole grains), Garlic, Salmon and other cold-water fish, Water ","High-sugar foods and drinks(soda, candy, and sweetened beverages), Caffeine, Acidic fruits and foods(emons, oranges, and tomatoes, Spicy foods, Alcohol "
Psoriasis,"Fruits and Vegetables, Lean Proteins(Choose fish, poultry, and beans), Whole Grains, Healthy Fats(olive oil, avocados, and nuts), Whole Grains, Healthy Fats, Low-Fat Dairy, Fish and Seafood, Legumes (Beans and Lentils), Nut and seeds, ","Red Meat, Processed Foods, Dairy, Nightshades(Tomatoes, potatoes, eggplants, and peppers), Alcohol, High-Glycemic Foods (Sugary drinks, processed snacks, and refined grains), Gluten"
Impetigo,"Zinc-rich foods (Beef, lamb, pork, oysters, chickpeas, lentils, beans, and pumpkin seeds), Protein-rich foods (Lean meats (chicken, turkey), fish, dairy products (milk, cheese, yogurt), legumes (beans, lentils), and eggs), Foods with antioxidants (Ginger, turmeric, green tea, fresh leaves (coriander, mint, basil)","Foods with high bacterial risk: Aged cheeses, raw eggs, raw fish, undercooked meats, and raw peanut butter. 
Foods that may worsen skin inflammation: Processed foods, sugary drinks, and excessive caffeine. "
